Date,Open,High,Low,Close,Adj Close,Volume
2021-10-14,25.640514,27.799879,25.424726,26.647486,26.647486,1375952551
2021-10-15,26.721535,27.338594,26.028906,26.944546,26.944546,1233296734
2021-10-16,26.982397,28.598087,26.955416,27.228479,27.228479,1125841874
2021-10-17,27.217609,27.595676,25.669571,26.540886,26.540886,780641105
2021-10-18,26.55028,26.732147,25.298382,25.704576,25.704576,774571489
2021-10-19,25.722418,26.255934,25.405819,25.936241,25.936241,688010725
2021-10-20,25.927059,27.626245,25.885157,27.419165,27.419165,1188806763
2021-10-21,27.474989,29.202021,27.32406,28.268347,28.268347,1635486783
2021-10-22,28.27751,29.999346,28.167055,28.661047,28.661047,1363344487
2021-10-23,28.661627,31.459808,28.350712,31.459808,31.459808,1452562680
2021-10-24,31.439425,31.535463,28.762533,29.770857,29.770857,1032101965
2021-10-25,29.720873,32.902344,29.542158,32.46011,32.46011,1527370027
2021-10-26,32.371098,33.785301,31.34705,32.503048,32.503048,1466770168
2021-10-27,32.530815,33.897488,28.086035,28.885674,28.885674,2193969162
2021-10-28,28.874521,30.833912,28.727592,30.227047,30.227047,1545343088
2021-10-29,30.219076,31.951368,30.0124,30.934832,30.934832,1182578925
2021-10-30,30.915524,31.101637,29.313494,29.78167,29.78167,838279040
2021-10-31,29.794224,30.590328,28.763056,29.985006,29.985006,879077591
2021-11-01,30.002562,31.871412,29.208277,31.565237,31.565237,1143381018
2021-11-02,31.68504,32.496296,31.043903,32.265533,32.265533,1026698067
2021-11-03,32.265514,32.791611,30.673016,31.990866,31.990866,1115161872
2021-11-04,31.971289,32.101528,30.289692,31.020929,31.020929,896897821
2021-11-05,31.027643,33.696304,30.72506,32.917904,32.917904,1516148850
2021-11-06,32.927689,33.22044,30.807951,32.083439,32.083439,1023488282
2021-11-07,32.089062,32.617439,31.776606,32.349564,32.349564,703297413
2021-11-08,32.359753,34.807415,32.265469,34.477592,34.477592,1362690316
2021-11-09,34.393425,35.565388,34.082878,34.705227,34.705227,1314621440
